GISID,CALENDAR_YEAR,sr,LOC_ROAD_NAME_RMS,INTERSECTION_FROM,SEGMENT_FROM,offsetfrom,INTERSECTION_TO,SEGMENT_TO,OFFSET_TO,MUNICIPALITY_NAME1,MUNICIPALITY_NAME2,MUNICIPALITY_NAME3,PLANNED,CNT_CODE,shortcode,longcode,new_year
2071,2023,4042,GROSSTOWN RD,High St/SR 4031,10.0,0000,Manatowny St/SR 4037,34.0,1533.0,WEST POTTSGROVE,,,1.78,46.0,404200100034,40420010000000341533,2025
2150,2023,2059,BORDENTOWN RD,Bristol Pk / SR 0013,20.0,0000,Bordentown Rd,80.0,2866.0,TULLYTOWN,FALLS,,3.13,9.0,205900200080,20590020000000802866,2026
2151,2023,2107,FALLSINGTON TUL,Bristol Pk / SR 0013,10.0,0000,New Falls Rd / SR 2006,40.0,2048.0,TULLYTOWN,FALLS,,2.48,9.0,210700100040,21070010000000402048,2024
2290,2023,2009,BYBERRY RD,230' W of Reading Way,80.0,0000,York rd / SR 0263,120.0,1075.0,HATBORO,BRYN ATHYN,UPPER MORELAND,2.26,46.0,200900800120,20090080000001201075,2024
2065,2023,3058,HECTOR ST,New Elm St / SR 3013,12.0,0000,Barren Hill Rd / SR 3011,42.0,1301.0,CONSHOHOCKEN,WHITEMARSH,,1.47,46.0,305800120042,30580012000000421301,2024
2056,2023,2012,UPPER STATE RD,Bethlehem Pk / SR 0309 / Dekalb Pk / SR 2202,10.0,0000,County Line Rd / SR 2038,40.0,2806.0,MONTGOMERY,,,2.08,46.0,201200100040,20120010000000402806,2024
2057,2023,2013,PHILMONT AV,Red Lion rd / Philmont Ave / SR 0063,22.0,0000,Byberry Rd / SR 2009,52.0,3788.0,LOWER MORELAND,,,1.82,46.0,201300220052,20130022000000523788,2024
2147,2023,2008,HIGHLAND AV,Old Lincoln Hwy / SR 2045,10.0,0000,Bellevue Ave / SR 0413,40.0,3639.0,LANGHORNE MANOR,MIDDLETOWN,,1.88,9.0,200800100040,20080010000000403639,2024
2260,2023,0532,WASHINGTON CROS,Durham Rd / SR 0413,184.0,0000,Dollington Rd / SR 2075,240.0,2646.0,UPPER MAKEFIELD,NEWTOWN,LOWER MAKEFIELD,3.62,9.0,053201840240,05320184000002402646,2024
2060,2023,2025,MONTGOMERY AV,Washington Ln / SR 2056,10.0,0000,Rowland Ave,70.0,2255.0,CHELTENHAM,,,3.49,46.0,202500100070,20250010000000702255,2024
2109,2023,1002,MANOA RD,Eagle Rd / SR 1005,10.0,0000,Mont. Co. Line,60.0,2072.0,HAVERFORD,,,2.42,23.0,100200100060,10020010000000602072,2024
2145,2023,2006,NEW FALLS RD,Middletown / Bristol Twp. Line,70.0,0000,Tyburn Rd / SR 2020,120.0,2795.0,FALLS,BRISTOL,,2.65,9.0,200600700120,20060070000001202795,2025
2334,2023,2036,TYSON AV,Edgehill Rd / SR 2034,10.0,0000,Edgehill Rd / SR 2034,30.0,2041.0,ABINGTON,,,1.45,46.0,203600100030,20360010000000302041,2025
2116,2023,1001,SHIP RD,Boot Rd / SR 2020,10.0,0000,Pottstown Pk / SR 0100,70.0,2949.0,WEST WHITELAND,UWCHLAN,,3.95,15.0,100100100070,10010010000000702949,2026
2059,2023,2022,FORT WASHINGTON,Bethleham Pk / SR 2018,20.0,0000,Limekiln Pk / SR 0152,70.0,2175.0,UPPER DUBLIN,,,2.55,46.0,202200200070,20220020000000702175,2024
2143,2023,0513,HULMEVILLE RD,Bristol Pk / SR 0013,10.0,0000,Galloway Rd / SR 2023,60.0,2171.0,BENSALEM,,,2.74,9.0,051300100060,05130010000000602171,2024
2111,2023,2007,BURMONT RD,Baltimore Ave / SR 2016,10.0,0000,Glendale Rd / SR 1006,80.0,625.0,LANSDOWNE,UPPER DARBY,HAVERFORD,3.28,23.0,200700100080,20070010000000800625,2024
2256,2023,0213,MAPLE AV,Pine St / SR 0413,110.0,0000,Lincoln Hwy / SR 2037,150.0,1638.0,LANGHORNE,MIDDLETOWN,,2.08,9.0,021301100150,02130110000001501638,2024
2289,2023,2006,LANSDALE AV,Main St / SR 0063,10.0,0000,Cowpath Rd / SR 0463,34.0,1508.0,LANSDALE,MONTGOMERY,,1.8,46.0,200600100034,20060010000000341508,2024
2148,2023,2011,CEDAR AV,State Rd / SR 2002,10.0,0000,Bristol Pk / SR 0013,10.0,2986.0,BRISTOL,,,0.57,9.0,201100100010,20110010000000102986,2024
2297,2023,2073,PENNSYLVANIA AV,Tyburn Rd / SR 2020,10.0,0000,Yardley Morrisville Rd / SR 2071,100.0,696.0,MORRISVILLE,LOWER MAKEFIELD,FALLS,3.94,9.0,207300100100,20730010000001000696,2025
2067,2023,4003,BLACK ROCK RD,Egypt Rd / SR 4002,10.0,0000,Trappe Rd / SR 0113,70.0,3646.0,UPPER  PROVIDENCE,,,3.62,46.0,400300100070,40030010000000703646,2024
